category,size,Frequency
C7~6886,1,20
C6~3074,1,12
C7~6876,1,12
C7~6884,1,20
C7~6873,1,12
C5~865,1,12
C6~3061,1,12
C7~6854,1,12
C6~3071,1,71
C7~6867,1,71
C5~866,1,33
C6~3064,1,21
C7~6857,1,21
C7~6880,1,37
C6~3078,1,17
C7~6882,1,17
C5~869,1,19
C6~3081,1,19
C7~6887,1,19
C6~3063,1,12
C7~6856,1,12
C7~6875,1,5
C7~6869,1,1
C4~147,1,398
C5~874,1,46
C6~3098,1,33
C7~6908,1,33
C5~873,1,121
C6~3093,1,61
C7~6902,1,15
C5~875,1,180
C6~3102,1,51
C7~6912,1,51
C7~6903,1,45
C5~872,1,4
C6~3088,1,3
C7~6896,1,3
C6~3106,1,33
C7~6916,1,33
C6~3099,1,12
C7~6909,1,12
C6~3104,1,19
C7~6914,1,19
C6~3105,1,7
C7~6915,1,7
C6~3089,1,1
C7~6897,1,1
C6~3103,1,34
C7~6913,1,34
C6~3096,1,34
C7~6906,1,34
C6~3107,1,36
C7~6917,1,36
C6~3095,1,8
C7~6905,1,8
C5~871,1,47
C6~3086,1,47
C7~6894,1,47
C6~3094,1,17
C7~6904,1,17
C3~19,1,8282
C4~149,1,5454
C5~885,1,275
C6~3130,1,164
C7~6940,1,164
C5~888,1,958
C6~3148,1,96
C7~6986,1,96
C6~3129,1,79
C7~6939,1,79
C5~887,1,1998
C6~3142,1,1052
C7~6967,1,1001
C5~886,1,1310
C6~3135,1,723
C7~6948,1,691
C6~3128,1,27
C7~6938,1,27
C6~3131,1,5
C7~6941,1,5
C6~3141,1,126
C7~6964,1,116
C5~884,1,217
C6~3124,1,189
C7~6934,1,189
C5~889,1,171
C6~3152,1,147
C7~6995,1,147
C6~3153,1,24
C7~6997,1,24
C6~3149,1,108
C7~6989,1,98
C6~3150,1,542
C7~6992,1,501
C6~3140,1,374
C7~6961,1,355
C6~3125,1,21
C7~6935,1,21
C6~3147,1,212
C7~6983,1,209
C6~3139,1,445
C7~6958,1,425
C7~6959,1,15
C4~151,1,508
C5~905,1,341
C6~3210,1,52
C7~7097,1,6
C7~7096,1,34
C6~3211,1,289
C7~7100,1,265
C7~6965,1,10
C7~6993,1,41
C7~6962,1,19
C7~6984,1,3
C7~7102,1,15
C6~3137,1,246
C7~6954,1,243
C4~150,1,2320
C5~894,1,333
C6~3171,1,144
C7~7026,1,82
C5~882,1,116
C6~3119,1,116
C7~6929,1,116
C6~3172,1,19
C7~7029,1,16
C5~896,1,1353
C6~3186,1,85
C7~7063,1,85
C5~895,1,221
C6~3177,1,7
C7~7040,1,7
C6~3179,1,12
C7~7046,1,11
C6~3182,1,281
C7~7053,1,239
C5~890,1,268
C6~3158,1,16
C7~7002,1,16
C5~904,1,93
C6~3207,1,75
C7~7092,1,75
C6~3174,1,74
C7~7033,1,74
C6~3184,1,677
C7~7059,1,578
C6~3181,1,263
C7~7050,1,214
C6~3178,1,111
C7~7043,1,81
C7~7027,1,2
C6~3134,1,246
C7~6945,1,231
C7~7052,1,41
C7~6968,1,51
C5~883,1,47
C6~3122,1,12
C7~6932,1,12
C6~3176,1,91
C7~7037,1,66
C6~3173,1,96
C7~7032,1,69
C7~7031,1,16
C7~7042,1,21
C7~7025,1,50
C6~3155,1,124
C7~6999,1,124
C6~3126,1,7
C7~6936,1,7
C4~263,1,1486
C5~1454,1,580
C6~4736,1,242
C7~9454,1,242
C7~6949,1,30
C5~897,1,58
C6~3190,1,58
C7~7069,1,58
C6~3136,1,30
C7~6951,1,28
C7~6952,1,2
C7~6946,1,11
C6~3133,1,64
C7~6943,1,64
C5~893,1,125
C6~3169,1,125
C7~7022,1,125
C6~3208,1,18
C7~7093,1,18
C6~3121,1,35
C7~6931,1,35
C7~6955,1,3
C7~7098,1,5
C7~7095,1,7
C7~7101,1,9
C5~903,1,74
C6~3205,1,74
C7~7090,1,74
C5~901,1,55
C6~3199,1,30
C7~7080,1,30
C7~7041,1,9
C7~7058,1,97
C6~3185,1,20
C7~7062,1,16
C7~7035,1,9
C7~7049,1,49
C5~900,1,24
C6~3197,1,24
C7~7078,1,24
C7~7061,1,4
C7~7024,1,12
C6~3187,1,20
C7~7066,1,6
C6~3200,1,24
