word,id,cnt
GINGER,679,1982
BAGS,680,1974
JACK,681,1973
ASTD,682,1972
TIN,683,1970
C5~4380,684,1966
C6~13446,685,1966
C7~28040,686,1966
YOU,687,1959
HAM,688,1957
C4~937,689,1945
C4~840,690,1944
C3~37,691,1938
C4~1168,692,1936
ROLLS,693,1935
HAPPY,694,1932
FSC,695,1931
MY,696,1926
C3~45,697,1923
C5~3694,698,1923
C6~11755,699,1923
C7~24996,700,1923
C4~959,701,1921
HOUSE,702,1918
HAT,703,1917
TICKET,704,1912
C5~4404,705,1909
C6~13534,706,1909
C7~28164,707,1909
KOSHER,708,1901
TOMATO,709,1901
C3~30,710,1889
DL,711,1886
PET,712,1884
BLK,713,1881
LIQUID,714,1876
PAPER,715,1873
C6~4511,716,1873
C4~663,717,1873
C5~3630,718,1873
C6~11470,719,1873
C7~24256,720,1873
LOTTERY,721,1872
MULTI,722,1870
GOLDEN,723,1870
LITTLE,724,1861
KING,725,1852
BIRTHDAY,726,1841
FOODS,727,1833
CASPARI,728,1833
HALLOWEEN,729,1818
JUMBO,730,1818
RAW,731,1814
SPECIAL,732,1812
C5~22,733,1808
C6~71,734,1808
C7~158,735,1808
C4~698,736,1805
WHISKEY,737,1804
SPARKLING,738,1801
BASKET,739,1800
MARINADE,740,1795
L,741,1788
RAINBOW,742,1783
C4~118,743,1772
C5~4,744,1767
DECOR,745,1765
FALL,746,1763
32,747,1762
ORNAMENT,748,1750
MENS,749,1749
DRESSING,750,1748
WHEAT,751,1743
STICK,752,1742
DIP,753,1741
EARRINGS,754,1734
SALSA,755,1733
C3~76,756,1730
C4~918,757,1730
C4~66,758,1730
CAFE,759,1726
C4~968,760,1723
JALAPENO,761,1716
MD,762,1705
FARM,763,1704
C4~65,764,1702
ULTRA,765,1699
PLANTER,766,1696
USDA,767,1689
COMBO,768,1688
OPEN,769,1687
AMERICAN,770,1686
C4~843,771,1679
C3~10,772,1674
PLUS,773,1674
C4~1000,774,1671
XL,775,1670
C5~6735,776,1661
BOURBON,777,1660
ORGANICS,778,1659
HERB,779,1657
C6~16485,780,1657
C5~4360,781,1650
C3~7,782,1647
CEREAL,783,1642
C4~1171,784,1642
LT,785,1640
GO,786,1636
SUN,787,1634
C5~4651,788,1634
LOIN,789,1626
ONION,790,1624
CRANBERRY,791,1616
C6~13424,792,1615
C7~28017,793,1615
C4~986,794,1612
C4~1040,795,1611
C1~5,796,1610
C2~13,797,1610
C6~5,798,1607
CAP,799,1606
C5~6184,800,1599
13,801,1597
LAVENDER,802,1597
ALE,803,1592
MEAL,804,1591
LIFE,805,1588
C5~3602,806,1588
C7~26760,807,1587
C3~33,808,1586
CREME,809,1583
C5~2141,810,1578
HARVEST,811,1577
BANANA,812,1577
LUNCH,813,1575
WRAP,814,1574
HAIR,815,1571
C6~16639,816,1571
C7~33378,817,1571
C4~962,818,1571
FILLET,819,1570
T,820,1568
C6~20202,821,1566
POP,822,1561
C4~921,823,1561
SALTED,824,1560
B,825,1560
SUMMER,826,1553
C6~18860,827,1552
75,828,1550
WASH,829,1548
40,830,1546
C4~472,831,1545
BATH,832,1544
G,833,1543
