Item,Freq,Size
7~2364,107,1
7~6500,46,1
7~5495,63,1
5~1649,333,1
6~2710,182,1
7~6344,48,1
7~9058,23,1
6~3116,151,1
7~6827,42,1
7~5708,59,1
7~3898,109,1
6~3126,75,1
7~3126,75,1
7~5601,61,1
7~4349,92,1
7~6078,52,1
7~7570,34,1
3~470,1309,1
4~471,1309,1
5~3872,104,1
6~3872,2,1
7~3872,2,1
6~8843,8,1
7~8843,8,1
6~7950,31,1
7~14021,2,1
6~5496,63,1
7~4350,46,1
7~10675,7,1
7~9509,10,1
7~5741,29,1
4~5259,68,1
5~7502,35,1
6~7013,20,1
7~7013,20,1
6~8029,15,1
7~8029,15,1
5~9859,18,1
6~11143,6,1
7~11143,6,1
5~10494,15,1
6~15234,1,1
7~15234,1,1
6~8844,12,1
7~8844,12,1
6~8269,14,1
7~8269,14,1
4~6595,45,1
5~8576,26,1
6~9510,10,1
7~9510,10,1
6~11733,5,1
7~11733,5,1
6~14022,2,1
7~14022,2,1
6~12340,4,1
7~12340,4,1
6~15235,1,1
7~15235,1,1
6~12341,4,1
7~12341,4,1
5~5811,19,1
6~5811,19,1
7~5811,19,1
4~1682,327,1
5~3908,106,1
6~3908,1,1
7~3908,1,1
5~8448,9,1
6~8448,9,1
7~8448,9,1
5~13026,2,1
6~13026,2,1
7~13026,2,1
5~6828,14,1
6~6828,14,1
7~6828,14,1
5~8030,10,1
6~8030,10,1
7~8030,10,1
6~8031,15,1
7~8031,15,1
5~5221,69,1
6~9179,11,1
7~9179,11,1
6~5350,33,1
7~5350,33,1
6~8845,12,1
7~8845,12,1
5~9371,21,1
6~13027,3,1
7~13027,3,1
5~16093,1,1
6~15236,1,1
7~15236,1,1
5~7716,33,1
6~11144,6,1
7~11144,6,1
6~6345,24,1
7~6345,24,1
6~8577,13,1
7~8577,13,1
6~5445,32,1
7~5445,32,1
6~10676,7,1
7~10676,7,1
6~9180,11,1
7~9180,11,1
5~5602,61,1
6~5632,30,1
7~5632,30,1
6~9181,11,1
7~9181,11,1
6~7807,16,1
7~7807,16,1
6~5260,34,1
7~5260,34,1
6~7344,18,1
7~7344,18,1
6~8578,13,1
7~8578,13,1
5~16094,1,1
6~15237,1,1
7~15237,1,1
4~8579,26,1
5~9860,6,1
6~9860,6,1
7~9860,6,1
5~8032,10,1
6~8032,10,1
7~8032,10,1
5~14657,1,1
6~14657,1,1
7~14657,1,1
5~8449,9,1
6~8449,9,1
7~8449,9,1
4~10250,16,1
5~11505,11,1
6~10677,7,1
7~10677,7,1
6~13028,3,1
7~13028,3,1
5~10495,5,1
6~10495,5,1
7~10495,5,1
6~15238,1,1
7~15238,1,1
4~2041,193,1
5~2041,20,1
6~2041,20,1
7~2041,20,1
5~9861,18,1
6~9182,11,1
7~9182,11,1
5~16095,1,1
6~15239,1,1
7~15239,1,1
5~8270,28,1
6~10251,8,1
7~10251,8,1
6~8271,14,1
7~8271,14,1
6~10678,7,1
7~10678,7,1
5~7717,33,1
6~15240,1,1
7~15240,1,1
5~11506,11,1
6~13029,3,1
7~13029,3,1
6~11145,6,1
7~11145,6,1
6~15241,1,1
7~15241,1,1
6~12342,4,1
7~12342,4,1
6~10679,7,1
7~10679,7,1
5~11507,11,1
6~12343,4,1
7~12343,4,1
5~5147,71,1
6~7718,33,1
7~11508,11,1
7~12711,7,1
7~10952,13,1
6~11734,5,1
7~11734,5,1
6~10680,7,1
7~10680,7,1
6~7193,38,1
7~10252,16,1
7~15242,2,1
7~10681,14,1
7~12344,8,1
6~9059,23,1
7~9060,23,1
3~543,1116,1
4~10253,4,1
5~10253,4,1
6~10253,4,1
7~10253,4,1
2~56,16244,1
3~152,5133,1
4~131,3299,1
5~131,913,1
6~131,913,1
7~131,913,1
5~595,1032,1
6~1273,448,1
7~1273,2,1
6~1096,531,1
7~1096,2,1
5~1348,423,1
6~5958,27,1
7~5958,27,1
6~7571,17,1
7~7571,17,1
6~3698,59,1
7~3698,59,1
6~3327,69,1
7~3327,69,1
6~6214,25,1
7~6214,25,1
5~663,931,1
6~2402,105,1
7~2402,105,1
6~1265,226,1
7~1265,226,1
6~4843,77,1
7~4843,1,1
7~2789,175,1
6~2581,192,1
7~5603,61,1
7~11735,10,1
7~3855,111,1
7~11509,11,1
7~2091,246,1
7~7285,37,1
6~4529,85,1
7~4529,2,1
6~2955,162,1
7~12345,8,1
7~11146,12,1
7~10953,13,1
7~10496,15,1
7~16096,1,1
7~11510,11,1
7~12346,8,1
7~4894,77,1
7~11147,12,1
7~15243,2,1
7~6829,42,1
7~6079,52,1
6~4456,89,1
7~14658,3,1
7~6778,43,1
7~4844,78,1
7~9511,20,1
7~5261,68,1
7~7101,39,1
7~10254,16,1
7~5742,58,1
7~8580,26,1
6~10954,13,1
7~15244,2,1
7~11511,11,1
7~8740,25,1
7~10497,15,1
7~10498,15,1
7~10085,17,1
7~10255,16,1
7~8741,25,1
6~5533,62,1
7~7808,32,1
7~13030,6,1
7~12057,9,1
6~3966,53,1
7~3966,53,1
7~8033,30,1
6~3632,122,1
