"SYMBOL","PREV. CLOSE ","IEP","CHNG","%CHNG","FINAL ","FINAL QUANTITY ","VALUE (₹ Crores)","FFM CAP (₹ Crores)","NM 52W H ","NM 52W L "
"GATEWAY","104.55","106.00","1.45","1.39","106.00","7,722","0.08","-","121.55","63.40"
"PARAS","894.70","907.00","12.30","1.37","907.00","13,002","1.18","-","928.00","496.05"
"RUCHIRA","127.50","129.25","1.75","1.37","129.25","3,248","0.04","-","164.20","106.95"
"GPPL","197.30","200.00","2.70","1.37","200.00","22,883","0.46","-","225.35","105.80"
"HECPROJECT","87.75","88.95","1.20","1.37","88.95","182","-","-","105.85","33.35"
"ADSL","147.40","149.40","2.00","1.36","149.40","865","0.01","-","201.25","83.60"
"KANANIIND","3.70","3.75","0.05","1.35","3.75","3,403","-","-","7.55","3.40"
"LIKHITHA","342.40","347.00","4.60","1.34","347.00","835","0.03","-","382.30","230.15"
"PLAZACABLE","89.55","90.75","1.20","1.34","90.75","200","-","-","173.50","75.70"
"HISARMETAL","191.45","194.00","2.55","1.33","194.00","40","-","-","251.90","134.15"
"SRM","176.50","178.85","2.35","1.33","178.85","205","-","-","237.30","170.65"
"RAMCOSYS","354.20","358.90","4.70","1.33","358.90","16","-","-","449.80","216.00"
"LUMAXIND","2,674.55","2,710.00","35.45","1.33","2,710.00","170","0.05","-","2,910.00","1,783.00"
"LASA","22.65","22.95","0.30","1.32","22.95","10","-","-","41.20","20.60"
"ALLSEC","1,033.50","1,047.15","13.65","1.32","1,047.15","48","0.01","-","1,097.70","458.00"
"MCLEODRUSS","26.60","26.95","0.35","1.32","26.95","3,466","0.01","-","37.85","17.35"
"HONAUT","50,931.40","51,599.95","668.55","1.31","51,599.95","36","0.19","-","58,994.00","34,977.70"
"CELEBRITY","19.05","19.30","0.25","1.31","19.30","101","-","-","23.95","12.00"
"JWL","564.50","571.90","7.40","1.31","571.90","41,012","2.35","-","577.85","125.00"
"SAREGAMA","482.70","489.00","6.30","1.31","489.00","8,554","0.42","-","499.00","304.25"
"CHEVIOT","1,488.60","1,508.00","19.40","1.30","1,508.00","130","0.02","-","1,626.70","1,101.15"
"PREMEXPLN","2,593.25","2,627.00","33.75","1.30","2,627.00","391","0.10","-","2,780.00","412.70"
"NETWEB","2,153.70","2,181.70","28.00","1.30","2,181.70","196","0.04","-","2,364.00","738.60"
"VIKASECO","3.90","3.95","0.05","1.28","3.95","38,219","0.02","-","5.65","2.80"
"CENTEXT","19.50","19.75","0.25","1.28","19.75","128","-","-","31.30","9.50"
"JKLAKSHMI","799.75","810.00","10.25","1.28","810.00","485","0.04","-","999.90","607.20"
"ASTERDM","375.20","380.00","4.80","1.28","380.00","14,953","0.57","-","558.00","256.35"
"WORTH","113.55","115.00","1.45","1.28","115.00","200","-","-","136.95","92.50"
"DIL","7.85","7.95","0.10","1.27","7.95","7,893","0.01","-","18.69","7.00"
"SAURASHCEM","118.30","119.80","1.50","1.27","119.80","657","0.01","-","130.60","97.00"
"ANKITMETAL","3.95","4.00","0.05","1.27","4.00","4,810","-","-","5.80","2.30"
"TGBHOTELS","15.80","16.00","0.20","1.27","16.00","50","-","-","20.30","9.05"
"SUULD","7.90","8.00","0.10","1.27","8.00","29","-","-","11.80","6.60"
"AZAD","1,390.65","1,408.25","17.60","1.27","1,408.25","462","0.07","-","1,544.20","642.40"
"GENSOL","969.95","982.15","12.20","1.26","982.15","698","0.07","-","1,376.00","436.75"
"WONDERLA","855.25","866.00","10.75","1.26","866.00","717","0.06","-","1,105.90","485.00"
"SELAN","616.95","624.70","7.75","1.26","624.70","382","0.02","-","735.00","261.55"
"ALKALI","115.55","117.00","1.45","1.25","117.00","30","-","-","162.90","95.55"
"JAYAGROGN","259.00","262.25","3.25","1.25","262.25","1,082","0.03","-","283.05","171.75"
"TBOTEK","1,436.00","1,454.00","18.00","1.25","1,454.00","388","0.06","-","1,490.00","1,275.00"
"SMLT","217.30","220.00","2.70","1.24","220.00","1,500","0.03","-","448.00","156.05"
"EIHAHOTELS","725.80","734.80","9.00","1.24","734.80","1","-","-","839.60","413.80"
"DOLATALGO","137.30","139.00","1.70","1.24","139.00","6,913","0.10","-","169.15","42.15"
"LANCORHOL","44.45","45.00","0.55","1.24","45.00","3","-","-","57.00","42.50"
"SINCLAIR","113.60","115.00","1.40","1.23","115.00","90","-","-","137.95","111.00"
"MIRZAINT","44.80","45.35","0.55","1.23","45.35","527","-","-","63.60","41.70"
"JMFINANCIL","82.20","83.20","1.00","1.22","83.20","92,626","0.77","-","114.85","67.85"
"VRLLOG","563.15","570.00","6.85","1.22","570.00","877","0.05","-","799.00","517.00"
