,comb_str,comb_freq,comb_size,imp_flag,bkt_below_10_cnt,bkt_10_20_cnt,bkt_20_50_cnt,bkt_50_100_cnt,bkt_100_above,comb_detail_str,conf_detail_str,conf_max,conf_min,conf_flag
1325,POTATO_ROASTED,3,3345,0,4,0,0,0,0,POTATO~2#:#ROASTED~2,1.5#:#1.5,1.5,1.5,1
1326,POTATO_WITH,2,3345,1,4,0,0,0,0,POTATO~2#:#WITH~2,1.0#:#1.0,1.0,1.0,1
1327,ROASTED_SALT,2,3345,1,4,0,0,0,0,ROASTED~2#:#SALT~2,1.0#:#1.0,1.0,1.0,1
1328,ROASTED_WITH,3,3345,1,4,0,0,0,0,ROASTED~2#:#WITH~2,1.5#:#1.5,1.5,1.5,1
1329,CHEF#ITC#MASTER_ROASTED,3,3345,0,4,0,0,0,0,CHEF#ITC#MASTER~2#:#ROASTED~2,1.5#:#1.5,1.5,1.5,1
1330,SALT_WITH,3,3345,2,4,0,0,0,0,SALT~2#:#WITH~2,1.5#:#1.5,1.5,1.5,1
1331,AND_GARLIC,3,3345,0,4,0,0,0,0,AND~2#:#GARLIC~2,1.5#:#1.5,1.5,1.5,1
1332,GARLIC_POTATO,2,3345,0,4,0,0,0,0,GARLIC~2#:#POTATO~2,1.0#:#1.0,1.0,1.0,1
1333,GARLIC_ROASTED,4,3345,0,4,0,0,0,0,GARLIC~2#:#ROASTED~2,2.0#:#2.0,2.0,2.0,1
1334,GARLIC_WITH,2,3345,1,4,0,0,0,0,GARLIC~2#:#WITH~2,1.0#:#1.0,1.0,1.0,1
1335,CHEF#ITC#MASTER_GARLIC,2,3345,0,4,0,0,0,0,CHEF#ITC#MASTER~2#:#GARLIC~2,1.0#:#1.0,1.0,1.0,1
1336,EAT_RICH,4,3345,0,4,0,0,0,0,EAT~2#:#RICH~2,2.0#:#2.0,2.0,2.0,1
1337,MEXICAN_STYLE,5,3345,0,4,0,0,0,0,MEXICAN~2#:#STYLE~2,2.5#:#2.5,2.5,2.5,1
1338,RICH_STYLE,2,3345,0,4,0,0,0,0,RICH~2#:#STYLE~2,1.0#:#1.0,1.0,1.0,1
1339,LICIOUS_SNACK,3,3345,0,4,0,0,0,0,LICIOUS~2#:#SNACK~3,1.5#:#1.0,1.5,1.0,1
1340,PEPPERS_STICK,2,3345,1,4,0,0,0,0,PEPPERS~2#:#STICK~2,1.0#:#1.0,1.0,1.0,1
1341,CHICKEN_GRAM,28,3345,0,4,0,0,0,0,CHICKEN~3#:#GRAM~2,9.33#:#14.0,14.0,9.33,1
1342,GODREJ_GRAM,7,3345,0,4,0,0,0,0,GODREJ~2#:#GRAM~2,3.5#:#3.5,3.5,3.5,1
1343,GRAM_YUMMIEZ,7,3345,0,4,0,0,0,0,GRAM~2#:#YUMMIEZ~2,3.5#:#3.5,3.5,3.5,1
1344,CHEF#ITC#MASTER_GRAM,3,3345,0,4,0,0,0,0,CHEF#ITC#MASTER~2#:#GRAM~2,1.5#:#1.5,1.5,1.5,1
1345,BONELESS_PACK,9,3345,1,4,0,0,0,0,BONELESS~2#:#PACK~3,4.5#:#3.0,4.5,3.0,1
1346,LICIOUS_PACK,7,3345,1,4,0,0,0,0,LICIOUS~2#:#PACK~3,3.5#:#2.33,3.5,2.33,1
1347,BREAST_PACK,6,3345,1,4,0,0,0,0,BREAST~2#:#PACK~3,3.0#:#2.0,3.0,2.0,1
1348,BONELESS_GRAM,9,3345,0,4,0,0,0,0,BONELESS~2#:#GRAM~2,4.5#:#4.5,4.5,4.5,1
1349,GRAM_LICIOUS,4,3345,0,4,0,0,0,0,GRAM~2#:#LICIOUS~2,2.0#:#2.0,2.0,2.0,1
1350,BREAST_GRAM,6,3345,0,4,0,0,0,0,BREAST~2#:#GRAM~2,3.0#:#3.0,3.0,3.0,1
1351,CURRY_PACK,4,3345,1,4,0,0,0,0,CURRY~2#:#PACK~3,2.0#:#1.33,2.0,1.33,1
1352,CUTS_GRAM,6,3345,0,4,0,0,0,0,CUTS~2#:#GRAM~2,3.0#:#3.0,3.0,3.0,1
