,word,freq
546,LIVER,2
547,ASIAN,4
548,KIT,9
549,SALAD,54
550,SALAMI,26
551,FRESHLY#PREPARED,13
552,MOZZARELLA,15
553,STACKERS,1
554,NACHOS,2
555,PIECES,24
556,THIGH,10
557,BACON,13
558,APPLEWOOD,1
559,ENDS,2
560,UNCURED,1
561,KEEMA,4
562,MINCE,8
563,CHOPS,5
564,CUBES,21
565,TENDERLOINS,4
566,BBQ,9
567,BURNT,1
568,KANSAS,1
569,CARNITAS,1
570,KOREAN,2
571,CHILE,1
572,VERDE,1
573,PULLED,2
574,FAMILY,15
575,MASHED,6
576,BLACK,37
577,GARLIC,25
578,ROSEMARY,2
579,KEBAB,1
580,SEEKH,1
581,TIKKA,4
582,MALAI,1
583,CURRY,14
584,MUTTON,2
585,FRESHTOHOME,5
586,POPCORN,2
587,KG,7
588,SATAY,4
589,FILLET,33
590,SMALL,10
591,DRUMSTICK,4
592,BARBECUE,11
593,FISH,3
594,GOODDOT,1
595,VEG,8
596,BASED#PLANT,14
597,ZORABIAN,6
598,WINGLETS,1
599,VALUE,7
600,MEATIGO,13
601,BRATWURST,3
602,FILLET#PERI,1
603,TENDERCUTS,1
604,G,3
605,BAGELS,16
606,BREAD,72
607,MODERN,15
608,PUMPKIN,20
609,SWIRL,4
610,EVERYTHING,5
611,SAVOURY,6
612,SCHAR,2
613,HAWAIIAN,5
614,ENGLISH,20
615,RAISIN,4
616,SOURDOUGH,7
617,CARB#KETO,4
618,TEXAS,1
619,GOLD#HARVEST,30
620,RUSTIC,3
621,PERCENT,13
622,DAILY,2
623,MULTISEED,3
624,SPROUTED,8
625,BRIOCHE,4
626,BAKERY,13
627,SMOOTH,8
628,BUNS,24
629,DINNER,4
630,PUB,1
631,HAMBURGER,6
632,CIABATTA,1
633,FLAT,4
634,FLATBREAD,1
635,PITA,5
636,WRAPS,7
637,BREADSTICKS,1
638,ASSORTED,14
639,BUNDT,3
640,FESTIVE,5
641,CUPCAKES,7
642,MONGINIS,30
643,MULTIPACK,7
644,OATMEAL,3
645,SWISS,7
646,CANDY,5
647,TOPPINGS,7
648,BALLS,3
649,WAFER,2
650,DRIZZLE,2
651,COATED,5
652,CHERRY,13
653,BLACKBERRY,4
654,FROSTED,6
655,DANISH,4
656,PASTRY,6
657,CLAW,3
658,CIDER,2
659,FASHIONED#OLD,4
660,BUTTERMILK,6
661,GRANNY#SMITH,4
662,LADY,2
663,PINK,3
664,SWEETANGO,1
665,EUROPEAN,3
666,FANCY,2
667,OPAL,1
668,GLO,1
669,LUCY,1
670,AUTUMN,2
671,GLORY,1
672,SUGARBEE,2
