,ing_id,cls_rep_id
902,10970,10970
903,11153,11153
904,11095,11095
905,10278,10278
906,10555,10555
907,20967,20967
908,20970,20970
909,20813,20813
910,20814,20813
911,20824,20824
912,20826,20826
913,20898,20898
914,20919,20919
915,20324,20324
916,20357,20357
917,20360,20357
918,20377,20377
919,20531,20531
920,20064,20064
921,20065,20065
922,20099,20099
923,20107,20107
924,20106,20107
925,20159,20159
926,20161,20159
927,20187,20159
928,20171,20171
929,20623,20623
930,20715,20715
931,11143,11143
932,10187,10187
933,10190,10187
934,10197,10197
935,10202,10197
936,10193,10197
937,10779,10779
938,10841,10841
939,10839,10841
940,10921,10921
941,10870,10870
942,10898,10898
943,10786,10786
944,20740,10786
945,10927,10786
946,11272,10786
947,10791,10791
948,11232,10791
949,10861,10791
950,11384,10791
951,10925,10925
952,10360,10360
953,10345,10345
954,10020,10020
955,10391,10391
956,10576,10576
957,10609,10609
958,10078,10078
959,20298,10078
960,10665,10665
961,10633,10633
962,10666,10666
963,10698,10698
964,11178,11178
965,10246,10246
966,10450,10450
967,10453,10450
968,10459,10450
969,10443,10443
970,10493,10493
971,10523,10523
972,10504,10523
973,10520,10523
974,10536,10536
975,20552,20552
976,20703,20703
977,20854,20854
978,20726,20726
979,20727,20727
980,20731,20731
981,20732,20732
982,20745,20745
983,20743,20745
984,20755,20755
985,20908,20908
986,20915,20915
987,20916,20916
988,20903,20903
989,20035,20035
990,20042,20042
991,20048,20048
992,20352,20352
993,20371,20371
994,20374,20374
995,20527,20527
996,20410,20410
997,20068,20068
998,20073,20073
999,20082,20082
1000,20185,20185
1001,20561,20561
1002,20583,20583
1003,20602,20602
1004,20752,20752
1005,21026,21026
1006,10255,10255
1007,10575,10575
1008,10746,10746
1009,10122,10122
1010,10386,10386
1011,10400,10400
1012,10385,10385
1013,10056,10056
1014,10057,10056
1015,10058,10056
1016,10059,10056
1017,10579,10056
1018,10580,10056
1019,10086,10086
1020,10691,10691
1021,11386,11386
1022,11179,11179
1023,10497,10497
1024,10501,10501
1025,10521,10501
1026,10518,10501
1027,10522,10501
1028,10511,10511
1029,10010,10010
1030,10008,10010
1031,11295,10010
1032,10150,10150
1033,11004,11004
1034,20088,11004
1035,10556,10556
1036,11071,11071
1037,20847,20847
1038,20758,20758
1039,20782,20782
1040,20804,20804
1041,11365,20804
1042,20831,20831
1043,20872,20872
1044,20882,20882
1045,20913,20913
1046,20985,20985
1047,20820,20820
1048,20818,20820
1049,20045,20045
1050,20216,20216
1051,20255,20255
1052,20269,20269
1053,20290,20290
1054,20289,20290
1055,20341,20341
1056,20346,20346
1057,20375,20375
1058,20376,20376
1059,20379,20379
1060,20551,20551
1061,20521,20521
1062,20517,20521
1063,20520,20521
1064,20491,20491
1065,20516,20516
1066,20067,20067
1067,20080,20080
1068,20150,20150
1069,20157,20157
1070,20575,20575
1071,20584,20584
1072,20699,20699
1073,20698,20699
1074,20739,20739
1075,20746,20746
1076,20770,20770
1077,20772,20772
1078,20948,20948
1079,20973,20973
1080,20989,20989
1081,10975,10975
1082,10867,10867
1083,10822,10822
1084,10886,10886
1085,10119,10886
1086,10123,10886
1087,10888,10886
1088,10785,10785
1089,10788,10785
1090,10926,10785
1091,10013,10013
1092,10031,10031
1093,10399,10399
1094,10577,10577
1095,10578,10577
1096,20192,10577
1097,10091,10091
1098,11368,11368
1099,10210,10210
1100,10214,10214
1101,10208,10214
1102,11389,11389
1103,11388,11389
1104,11136,11136
1105,11162,11162
1106,11161,11162
1107,10241,10241
1108,10482,10482
1109,10495,10495
1110,10499,10499
1111,10498,10499
1112,10514,10514
1113,10527,10527
1114,10270,10270
1115,10287,10287
1116,10295,10295
